dataset,method,config,accuracy,kappa_m,n_instances,filename
covtype,SoftReset,soft_reset_abc_rl1_adwin,0.898820,0.802537,581012,NeuralARTE_covtype_soft_reset_abc_rl1_adwin_s123456789_20260405_235202.csv
electricity,SoftReset,soft_reset_abc_cnn_rl1_adwin,0.894244,0.750897,45312,NeuralARTE_electricity_soft_reset_abc_cnn_rl1_adwin_s123456789_20260417_224111.csv
electricity,SoftReset,soft_reset_abc_cnn_rl1_nodrift,0.901836,0.768779,45312,NeuralARTE_electricity_soft_reset_abc_cnn_rl1_nodrift_s123456789_20260418_205007.csv
electricity,SoftReset,soft_reset_abc_proj_rl1_adwin,0.894752,0.752092,45312,NeuralARTE_electricity_soft_reset_abc_proj_rl1_adwin_s123456789_20260417_222759.csv
electricity,SoftReset,soft_reset_abc_proj_rl1_nodrift,0.903006,0.771534,45312,NeuralARTE_electricity_soft_reset_abc_proj_rl1_nodrift_s123456789_20260418_022121.csv
electricity,SoftReset,soft_reset_abc_rl1_adwin,0.894862,0.752352,45312,NeuralARTE_electricity_soft_reset_abc_rl1_adwin_s123456789_20260405_194129.csv
electricity,SoftReset,soft_reset_abc_rl1_nodrift,0.901704,0.768467,45312,NeuralARTE_electricity_soft_reset_abc_rl1_nodrift_s123456789_20260418_022016.csv
electricity,SoftReset,soft_reset_current_rl1_adwin,0.876832,0.709882,45312,NeuralARTE_electricity_soft_reset_current_rl1_adwin_s123456789_20260419_171910.csv
electricity,SoftReset,soft_reset_current_rl1_nodrift,0.885637,0.730623,45312,NeuralARTE_electricity_soft_reset_current_rl1_nodrift_s123456789_20260418_022030.csv
gassensor,SoftReset,soft_reset_abc_cnn_rl1_adwin,0.964198,0.954316,13910,NeuralARTE_gassensor_soft_reset_abc_cnn_rl1_adwin_s123456789_20260417_223549.csv
gassensor,SoftReset,soft_reset_abc_cnn_rl1_nodrift,0.957297,0.945510,13910,NeuralARTE_gassensor_soft_reset_abc_cnn_rl1_nodrift_s123456789_20260418_205006.csv
